age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
36, Private,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States,0
34, Self-emp-inc,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,1
26, Private,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
34, Private,9, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States,0
33, Private,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
29, Self-emp-not-inc,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States,0
23, Private,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States,0
27, Private,12, Never-married, Exec-managerial, Not-in-family, White, Male,3325,0,40, United-States,0
22, Private,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
21, ?,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States,0
21, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
27, Private,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
24, Private,10, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States,0
27, Private,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico,0
25, Local-gov,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
31, Private,9, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
28, Private,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States,0
39, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,48, United-States,1
28, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Female,2202,0,50, United-States,0
21, Private,10, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,1974,40, United-States,0
21, Private,9, Married-civ-spouse, Sales, Husband, Other, Male,0,0,35, United-States,0
26, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,2407,0,50, United-States,0
20, Private,10, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,0
34, Private,9, Never-married, Other-service, Unmarried, Black, Male,0,0,30, United-States,0
20, ?,10, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States,0
35, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States,0
28, ?,13, Married-spouse-absent, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,10, Taiwan,0
21, Private,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
35, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,2205,40, United-States,0
26, Private,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,43, United-States,0
21, Private,12, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States,0
22, ?,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Thailand,0
33, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
35, Private,8, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,20, United-States,0
34, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,0
23, Private,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
35, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,1
21, Private,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States,0
24, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
27, Private,11, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States,0
21, Private,10, Never-married, Other-service, Other-relative, Black, Female,0,0,8, United-States,0
18, Self-emp-inc,7, Never-married, Farming-fishing, Own-child, White, Male,0,0,70, United-States,0
38, Private,9, Separated, Other-service, Own-child, White, Male,0,0,35, United-States,0
32, Private,13, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States,0
36, Private,13, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,55, United-States,1
18, ?,8, Never-married, ?, Own-child, White, Male,0,0,25, United-States,0
24, State-gov,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States,0
38, Private,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Japan,1
20, Private,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
18, Private,7, Never-married, Other-service, Own-child, Black, Male,0,1602,23, United-States,0
38, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, United-States,1
24, Local-gov,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States,0
39, Federal-gov,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0
28, State-gov,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,0
34, Private,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,0
21, Self-emp-inc,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
31, ?,12, Never-married, ?, Own-child, White, Female,0,0,25, United-States,0
25, Local-gov,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,0
39, Local-gov,8, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
37, Federal-gov,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
34, Self-emp-not-inc,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
37, Self-emp-not-inc,9, Divorced, Farming-fishing, Unmarried, White, Male,0,0,56, United-States,0
33, Private,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
21, Private,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
38, Local-gov,13, Separated, Prof-specialty, Unmarried, Black, Male,0,0,40, United-States,0
24, ?,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
27, Private,9, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,40, Japan,0
38, Private,9, Divorced, Other-service, Not-in-family, White, Female,0,0,35, United-States,0
27, Local-gov,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
23, Private,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
36, State-gov,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1672,38, United-States,0
20, Private,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
