age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
22, Private,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
33, State-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
30, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Canada,1
21, ?,10, Never-married, ?, Not-in-family, White, Female,0,0,28, United-States,0
33, Private,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States,0
18, Private,10, Never-married, Handlers-cleaners, Own-child, Black, Female,0,1602,35, United-States,0
32, Self-emp-not-inc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
21, ?,10, Never-married, ?, Not-in-family, White, Female,0,0,43, United-States,0
37, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
22, Local-gov,9, Never-married, Protective-serv, Unmarried, White, Male,0,0,56, United-States,0
31, Federal-gov,9, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States,0
25, Private,13, Never-married, Exec-managerial, Not-in-family, White, Female,3325,0,40, United-States,0
24, Private,9, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, South,0
24, State-gov,14, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States,0
31, ?,12, Never-married, ?, Own-child, White, Female,0,0,25, United-States,0
38, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
39, Self-emp-not-inc,5, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, Cuba,0
39, Self-emp-not-inc,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
39, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
35, Self-emp-not-inc,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States,0
31, Private,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0
17, ?,6, Never-married, ?, Own-child, White, Female,0,0,15, United-States,0
24, Local-gov,10, Separated, Protective-serv, Not-in-family, White, Male,0,0,60, United-States,0
39, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,0
20, ?,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
21, ?,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
19, ?,4, Never-married, ?, Not-in-family, White, Male,0,0,40, Mexico,0
18, ?,10, Never-married, ?, Own-child, White, Male,0,0,60, United-States,0
25, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, Italy,0
34, Self-emp-not-inc,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
34, ?,7, Married-civ-spouse, ?, Wife, White, Female,0,0,8, United-States,0
37, Federal-gov,10, Never-married, Other-service, Own-child, White, Male,0,0,40, Japan,0
17, Local-gov,6, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,0
19, ?,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
39, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,0
20, Private,10, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States,0
39, Self-emp-not-inc,5, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, Cuba,0
27, Federal-gov,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States,0
35, ?,12, Married-civ-spouse, ?, Wife, White, Female,0,0,16, United-States,0
31, ?,13, Married-civ-spouse, ?, Wife, White, Female,0,0,25, United-States,1
36, Self-emp-not-inc,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,50, United-States,0
27, State-gov,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,0
18, Self-emp-inc,9, Never-married, Farming-fishing, Own-child, White, Female,0,0,8, United-States,0
35, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
34, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0
18, ?,7, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
34, Self-emp-not-inc,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
32, ?,13, Never-married, ?, Not-in-family, White, Female,0,0,20, ?,0
34, ?,9, Married-civ-spouse, ?, Husband, White, Male,2885,0,80, United-States,0
35, Self-emp-not-inc,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States,0
38, Local-gov,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,2258,60, United-States,0
21, ?,10, Never-married, ?, Own-child, White, Female,0,0,35, United-States,0
37, Private,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,60, Philippines,0
38, Local-gov,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,2258,60, United-States,0
29, Private,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,0
39, Self-emp-not-inc,5, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, Cuba,0
36, Self-emp-not-inc,13, Never-married, Sales, Not-in-family, Black, Female,2174,0,50, United-States,0
39, Federal-gov,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States,0
31, State-gov,10, Never-married, Other-service, Own-child, White, Female,0,0,65, United-States,0
29, Local-gov,11, Married-civ-spouse, Protective-serv, Husband, White, Male,7688,0,40, United-States,1
32, Federal-gov,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0
30, Private,9, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
17, ?,6, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
19, ?,10, Never-married, ?, Own-child, White, Female,0,0,30, United-States,0
36, Private,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
35, Private,9, Separated, Transport-moving, Own-child, White, Male,0,0,50, United-States,0
23, Self-emp-not-inc,13, Never-married, Adm-clerical, Own-child, White, Male,0,2231,40, United-States,1
33, Self-emp-not-inc,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,80, United-States,1
25, Private,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Mexico,0
36, State-gov,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
34, Local-gov,9, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,35, United-States,0
28, State-gov,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,90, United-States,0
35, Self-emp-not-inc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,0
37, Self-emp-not-inc,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0
37, Private,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States,1
34, State-gov,14, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,24, United-States,0
33, Self-emp-not-inc,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,0
25, Local-gov,13, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States,0
30, Self-emp-not-inc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,65, United-States,1
36, ?,9, Divorced, ?, Unmarried, White, Female,0,0,28, United-States,0
23, ?,13, Never-married, ?, Own-child, White, Male,0,0,50, United-States,0
34, State-gov,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1848,40, United-States,1
33, Local-gov,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0
33, Self-emp-not-inc,2, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico,0
31, State-gov,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
39, Self-emp-not-inc,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Columbia,0
25, Local-gov,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
32, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States,0
21, Local-gov,8, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,20, United-States,0
30, Self-emp-not-inc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,65, United-States,1
33, Self-emp-not-inc,11, Divorced, Other-service, Unmarried, White, Female,0,0,99, United-States,0
31, Self-emp-inc,13, Married-civ-spouse, Sales, Husband, White, Male,3908,0,50, United-States,0
31, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States,1
29, Federal-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States,0
30, Local-gov,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,72, United-States,1
20, Private,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,9, England,0
20, ?,9, Never-married, ?, Other-relative, White, Male,0,0,40, El-Salvador,0
20, State-gov,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States,0
39, Self-emp-not-inc,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1
21, ?,9, Never-married, ?, Own-child, White, Female,0,0,10, United-States,0
29, State-gov,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,0
27, Local-gov,13, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States,0
26, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,4064,0,50, United-States,0
23, Private,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States,0
20, ?,10, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States,0
36, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2885,0,40, United-States,0
37, State-gov,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
36, Local-gov,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
23, Private,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,0
22, State-gov,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States,0
30, Self-emp-not-inc,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States,1
30, Local-gov,13, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
36, Self-emp-not-inc,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States,0
18, ?,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
32, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
34, ?,11, Married-civ-spouse, ?, Husband, White, Male,3103,0,60, United-States,1
23, Private,10, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States,0
22, Self-emp-not-inc,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Greece,0
33, State-gov,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,0
27, Federal-gov,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
23, Self-emp-not-inc,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
25, Self-emp-inc,10, Divorced, Adm-clerical, Own-child, White, Female,0,0,50, United-States,0
32, ?,4, Widowed, ?, Not-in-family, White, Female,0,0,40, United-States,0
35, ?,9, Divorced, ?, Unmarried, White, Female,0,0,20, United-States,0
25, Self-emp-not-inc,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
39, State-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
24, Private,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0
38, Local-gov,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,15, United-States,0
26, Self-emp-not-inc,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0
21, ?,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States,0
26, State-gov,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States,0
26, State-gov,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States,0
36, Local-gov,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States,0
35, Self-emp-not-inc,11, Never-married, Farming-fishing, Own-child, White, Male,0,0,65, United-States,0
22, Local-gov,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, ?,0
26, State-gov,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
38, Private,11, Separated, Tech-support, Unmarried, White, Female,0,0,20, United-States,0
17, Self-emp-inc,6, Never-married, Sales, Own-child, White, Male,0,0,12, United-States,0
23, Local-gov,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
20, State-gov,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
26, Private,13, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Thailand,0
20, ?,5, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
27, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1
30, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Canada,1
27, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States,1
30, Federal-gov,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
39, ?,6, Widowed, ?, Unmarried, White, Female,0,0,15, United-States,0
28, Self-emp-inc,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States,0
36, Local-gov,13, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States,0
19, State-gov,7, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States,0
30, Local-gov,10, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,40, United-States,1
37, Self-emp-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
28, Self-emp-not-inc,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,4, United-States,0
29, Private,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0
37, Self-emp-not-inc,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,2105,0,50, United-States,0
23, Federal-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0
30, Self-emp-not-inc,15, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
22, ?,10, Never-married, ?, Own-child, White, Female,0,0,40, Iran,0
27, State-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States,0
32, Self-emp-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,99999,0,40, United-States,1
23, ?,10, Never-married, ?, Own-child, White, Female,0,0,32, United-States,0
32, Private,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,0
19, ?,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States,0
22, Private,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
20, State-gov,12, Never-married, Other-service, Own-child, White, Male,0,1719,20, United-States,0
32, Self-emp-not-inc,11, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States,0
33, Local-gov,9, Separated, Other-service, Own-child, White, Female,0,0,80, United-States,0
33, State-gov,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,0
38, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
37, Private,11, Never-married, Adm-clerical, Not-in-family, Other, Female,4101,0,35, United-States,0
26, Federal-gov,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,0
33, Private,7, Separated, Machine-op-inspct, Other-relative, White, Male,0,0,30, United-States,0
17, Federal-gov,7, Never-married, Adm-clerical, Not-in-family, Black, Female,0,1602,40, United-States,0
21, Private,10, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States,0
21, Private,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
37, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, United-States,0
28, ?,6, Divorced, ?, Not-in-family, White, Male,0,0,50, United-States,0
36, State-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
36, Local-gov,9, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States,0
36, State-gov,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,36, United-States,1
20, State-gov,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,0
37, Local-gov,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
33, Private,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States,1
34, State-gov,9, Never-married, Other-service, Own-child, Black, Male,0,0,42, United-States,0
19, ?,9, Never-married, ?, Own-child, White, Female,1055,0,12, United-States,0
29, Local-gov,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States,0
29, Self-emp-not-inc,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,1
26, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
39, Private,13, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States,1
30, Private,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States,0
31, Private,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,48, United-States,1
26, ?,10, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States,0
17, ?,7, Never-married, ?, Own-child, White, Female,0,0,35, United-States,0
36, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, ?,1
36, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
29, Self-emp-not-inc,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States,0
27, State-gov,13, Never-married, Prof-specialty, Unmarried, White, Male,0,0,50, United-States,0
37, Self-emp-not-inc,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Cuba,1
31, Private,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
29, State-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,15, United-States,0
18, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States,0
21, ?,10, Never-married, ?, Own-child, White, Female,0,0,5, United-States,0
28, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Female,2202,0,50, United-States,0
22, ?,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
31, Self-emp-inc,16, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
33, Private,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico,0
26, Local-gov,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States,0
20, Private,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
21, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States,0
33, Self-emp-not-inc,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,60, United-States,1
37, Federal-gov,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Philippines,1
24, Private,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States,0
24, ?,11, Married-civ-spouse, ?, Wife, Black, Female,0,0,35, United-States,0
30, Self-emp-not-inc,8, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States,0
24, Private,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0
36, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico,0
37, State-gov,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
30, Self-emp-inc,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, ?,1
35, Private,6, Widowed, Other-service, Not-in-family, Black, Female,0,1980,40, United-States,0
34, State-gov,11, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
27, Private,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States,0
23, State-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States,1
18, ?,8, Never-married, ?, Own-child, Other, Male,0,0,40, United-States,0
23, Private,9, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States,0
37, Private,11, Never-married, Sales, Unmarried, Black, Female,0,0,6, United-States,0
20, Self-emp-inc,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States,0
18, Self-emp-not-inc,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,11, United-States,0
31, Local-gov,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
26, Private,5, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States,0
18, State-gov,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
26, ?,10, Never-married, ?, Own-child, White, Male,0,0,12, United-States,0
36, Self-emp-not-inc,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0
30, Private,9, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States,0
32, Local-gov,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,43, United-States,0
35, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
38, Self-emp-not-inc,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7688,0,40, United-States,1
38, Self-emp-not-inc,9, Never-married, Sales, Unmarried, Black, Female,0,0,42, United-States,0
35, Self-emp-not-inc,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
20, Self-emp-not-inc,6, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
28, ?,9, Separated, ?, Unmarried, White, Female,0,0,40, United-States,0
24, Private,9, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States,0
36, State-gov,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
