age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
61, ?,9, Married-civ-spouse, ?, Husband, Black, Male,0,0,6, United-States,0
48, Private,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
53, Local-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,55, United-States,1
43, Self-emp-not-inc,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,16, United-States,0
54, Private,10, Separated, Other-service, Not-in-family, White, Male,0,0,28, Columbia,0
58, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
56, Private,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, Germany,0
70, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,2174,40, United-States,1
40, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,1
58, Self-emp-not-inc,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States,0
57, Federal-gov,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
53, Private,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Japan,0
56, Private,12, Divorced, Adm-clerical, Unmarried, White, Female,4101,0,40, United-States,0
65, Self-emp-inc,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States,1
44, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
64, Federal-gov,4, Widowed, Other-service, Unmarried, White, Female,0,0,30, Puerto-Rico,0
67, Private,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States,1
48, Local-gov,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7298,0,38, United-States,1
59, Private,9, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States,0
61, Local-gov,9, Widowed, Adm-clerical, Unmarried, White, Female,1471,0,35, United-States,0
49, Private,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1
47, Private,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
56, ?,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, Nicaragua,0
48, Federal-gov,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,1
42, State-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
64, Local-gov,9, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States,0
43, Private,13, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, ?,1
72, Self-emp-not-inc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,74, United-States,0
60, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,0
45, Private,11, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1
65, ?,6, Married-civ-spouse, ?, Husband, White, Male,9386,0,50, United-States,1
57, Private,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
49, Self-emp-inc,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1
67, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States,0
64, Private,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
42, Private,13, Divorced, Adm-clerical, Unmarried, White, Male,9562,0,45, United-States,1
50, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States,1
52, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
42, Private,4, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States,0
85, Private,9, Widowed, Sales, Unmarried, White, Male,0,0,35, United-States,0
51, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,48, United-States,1
41, Local-gov,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3942,0,40, United-States,0
58, Private,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States,0
47, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,1
52, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
50, Self-emp-not-inc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,1
48, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Japan,0
49, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
63, State-gov,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States,1
41, Local-gov,9, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
68, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,1
41, Private,6, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
50, ?,13, Married-civ-spouse, ?, Husband, Black, Male,0,1902,60, United-States,1
50, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,84, United-States,0
41, Private,9, Divorced, Craft-repair, Unmarried, White, Male,2174,0,40, Japan,0
64, ?,9, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States,0
46, Private,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States,1
45, Private,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Germany,1
40, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0
51, Private,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,1
46, Private,15, Separated, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,1
40, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,56, United-States,0
59, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,1
49, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
56, Private,9, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0,0,35, United-States,0
56, Private,6, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,36, United-States,0
61, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0
56, Self-emp-not-inc,10, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,27828,0,20, United-States,1
62, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States,1
50, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1485,40, United-States,0
64, Self-emp-not-inc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,55, United-States,0
59, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1
47, Private,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,7688,0,40, United-States,1
85, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,3, Poland,0
49, Private,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0
47, Private,13, Divorced, Other-service, Not-in-family, White, Female,0,0,25, Germany,0
41, ?,3, Married-civ-spouse, ?, Husband, White, Male,0,0,32, Mexico,0
60, Local-gov,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
52, Federal-gov,12, Married-civ-spouse, Other-service, Husband, White, Male,7298,0,40, United-States,1
60, Private,9, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States,1
57, Private,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico,0
48, Private,13, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, Philippines,1
68, Private,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy,1
51, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States,1
49, Private,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States,1
40, Private,14, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States,1
46, Private,2, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Puerto-Rico,0
65, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
43, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States,1
52, Private,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States,0
43, Local-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
61, Private,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
56, Private,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States,1
79, Self-emp-not-inc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States,1
52, Private,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
64, Private,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,0
65, Private,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,0
47, Private,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,43, United-States,0
48, Federal-gov,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
46, Private,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
48, Private,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States,0
50, Private,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
41, Private,5, Separated, Other-service, Not-in-family, White, Male,0,0,40, United-States,0
67, ?,9, Widowed, ?, Other-relative, White, Female,0,0,8, United-States,0
58, Private,9, Married-civ-spouse, Priv-house-serv, Other-relative, Asian-Pac-Islander, Female,0,0,60, Philippines,0
49, Private,9, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States,0
51, Private,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,38, United-States,0
66, Private,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,4, United-States,0
43, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
47, Private,4, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, Puerto-Rico,0
52, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
57, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
60, Private,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
52, Private,4, Never-married, Other-service, Own-child, White, Female,0,0,7, United-States,0
59, Federal-gov,6, Divorced, Other-service, Not-in-family, White, Female,0,0,37, United-States,0
42, Private,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
45, Private,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0
46, Private,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0
45, Local-gov,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States,0
43, State-gov,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
47, Private,12, Separated, Adm-clerical, Unmarried, White, Female,0,0,57, United-States,0
52, Self-emp-inc,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
58, Private,6, Divorced, Transport-moving, Not-in-family, Black, Male,0,0,50, United-States,0
61, Private,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,1
44, Local-gov,10, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States,0
46, Federal-gov,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
41, Local-gov,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1740,20, United-States,0
76, ?,3, Widowed, ?, Unmarried, White, Female,0,0,40, United-States,0
46, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
58, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
45, Private,9, Divorced, Farming-fishing, Not-in-family, White, Male,0,2258,44, United-States,1
72, Private,9, Widowed, Other-service, Unmarried, White, Female,0,0,16, United-States,0
40, Private,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,0
50, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,1
53, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States,1
90, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
62, Private,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
60, ?,7, Married-spouse-absent, ?, Unmarried, Black, Female,0,0,20, United-States,0
40, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,75, United-States,1
45, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States,1
44, Private,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States,0
53, Self-emp-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States,1
42, Private,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,1
43, Private,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
43, Self-emp-not-inc,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States,0
68, ?,4, Widowed, ?, Not-in-family, White, Female,0,0,15, United-States,0
57, Private,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
40, Self-emp-inc,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, ?,1
44, Private,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0
44, Private,7, Separated, Other-service, Unmarried, Black, Female,0,0,60, United-States,0
